"id","code","description"
"1","1","Analytical or derived from analytical"
"2","4","Calculated or imputed"
"3","5","Value manufacturer based label claim for added nutrients"
"4","6","Aggregated data involving combinations of source codes 1, 6, 12 and/or 13"
"5","7","Assumed zero"
"6","8","Calculated from nutrient label by NDL"
"7","9","Calculated by manufacturer, not adjusted or rounded for NLEA"
"8","11","Aggregated data involving comb. of codes other then 1,12 or6"
"9","12","Manufacturer's analytical; partial documentation"
"10","13","Analytical data from the literature, partial documentation"
