"wweia_food_category","wweia_food_category_description"
"1002","Milk, whole"
"1004","Milk, reduced fat"
"1006","Milk, lowfat"
"1008","Milk, nonfat"
"1202","Flavored milk, whole"
"1204","Flavored milk, reduced fat"
"1206","Flavored milk, lowfat"
"1208","Flavored milk, nonfat"
"1402","Milk shakes and other dairy drinks"
"1404","Milk substitutes"
"1602","Cheese"
"1604","Cottage/ricotta cheese"
"1820","Yogurt, regular"
"1822","Yogurt, Greek"
"2002","Beef, excludes ground"
"2004","Ground beef"
"2006","Pork"
"2008","Lamb, goat, game"
"2010","Liver and organ meats"
"2202","Chicken, whole pieces"
"2204","Chicken patties, nuggets and tenders"
"2206","Turkey, duck, other poultry"
"2402","Fish"
"2404","Shellfish"
"2502","Eggs and omelets"
"2602","Cold cuts and cured meats"
"2604","Bacon"
"2606","Frankfurters"
"2608","Sausages"
"2802","Beans, peas, legumes"
"2804","Nuts and seeds"
"2806","Processed soy products"
"3002","Meat mixed dishes"
"3004","Poultry mixed dishes"
"3006","Seafood mixed dishes"
"3102","Bean, pea, legume dishes"
"3104","Vegetable dishes"
"3202","Rice mixed dishes"
"3204","Pasta mixed dishes, excludes macaroni and cheese"
"3206","Macaroni and cheese"
"3208","Turnovers and other grain-based items"
"3402","Fried rice and lo/chow mein"
"3404","Stir-fry and soy-based sauce mixtures"
"3406","Egg rolls, dumplings, sushi"
"3502","Burritos and tacos"
"3504","Nachos"
"3506","Other Mexican mixed dishes"
"3602","Pizza"
"3702","Burgers (single code)"
"3703","Frankfurter sandwiches (single code)"
"3704","Chicken/turkey sandwiches (single code)"
"3706","Egg/breakfast sandwiches (single code)"
"3708","Other sandwiches (single code)"
"3720","Cheese sandwiches (single code)"
"3722","Peanut butter and jelly sandwiches (single code)"
"3730","Seafood sandwiches (single code)"
"3802","Soups"
"4002","Rice"
"4004","Pasta, noodles, cooked grains"
"4202","Yeast breads"
"4204","Rolls and buns"
"4206","Bagels and English muffins"
"4208","Tortillas"
"4402","Biscuits, muffins, quick breads"
"4404","Pancakes, waffles, French toast"
"4602","Ready-to-eat cereal, higher sugar (>21.2g/100g)"
"4604","Ready-to-eat cereal, lower sugar (=<21.2g/100g)"
"4802","Oatmeal"
"4804","Grits and other cooked cereals"
"5002","Potato chips"
"5004","Tortilla, corn, other chips"
"5006","Popcorn"
"5008","Pretzels/snack mix"
"5202","Crackers, excludes saltines"
"5204","Saltine crackers"
"5402","Cereal bars"
"5404","Nutrition bars"
"5502","Cakes and pies"
"5504","Cookies and brownies"
"5506","Doughnuts, sweet rolls, pastries"
"5702","Candy containing chocolate"
"5704","Candy not containing chocolate"
"5802","Ice cream and frozen dairy desserts"
"5804","Pudding"
"5806","Gelatins, ices, sorbets"
"6002","Apples"
"6004","Bananas"
"6006","Grapes"
"6008","Peaches and nectarines"
"6009","Strawberries"
"6011","Blueberries and other berries"
"6012","Citrus fruits"
"6014","Melons"
"6016","Dried fruits"
"6018","Other fruits and fruit salads"
"6020","Pears"
"6022","Pineapple"
"6024","Mango and papaya"
"6402","Tomatoes"
"6404","Carrots"
"6406","Other red and orange vegetables"
"6407","Broccoli"
"6409","Spinach"
"6410","Lettuce and lettuce salads"
"6411","Other dark green vegetables"
"6412","String beans"
"6413","Cabbage"
"6414","Onions"
"6416","Corn"
"6418","Other starchy vegetables"
"6420","Other vegetables and combinations"
"6430","Fried vegetables"
"6432","Coleslaw, non-lettuce salads"
"6489","Vegetables on a sandwich"
"6802","White potatoes, baked or boiled"
"6804","French fries and other fried white potatoes"
"6806","Mashed potatoes and white potato mixtures"
"7002","Citrus juice"
"7004","Apple juice"
"7006","Other fruit juice"
"7008","Vegetable juice"
"7102","Diet soft drinks"
"7104","Diet sport and energy drinks"
"7106","Other diet drinks"
"7202","Soft drinks"
"7204","Fruit drinks"
"7206","Sport and energy drinks"
"7208","Nutritional beverages"
"7220","Smoothies and grain drinks"
"7302","Coffee"
"7304","Tea"
"7502","Beer"
"7504","Wine"
"7506","Liquor and cocktails"
"7702","Tap water"
"7704","Bottled water"
"7802","Flavored or carbonated water"
"7804","Enhanced or fortified water"
"8002","Butter and animal fats"
"8004","Margarine"
"8006","Cream cheese, sour cream, whipped cream"
"8008","Cream and cream substitutes"
"8010","Mayonnaise"
"8012","Salad dressings and vegetable oils"
"8402","Tomato-based condiments"
"8404","Soy-based condiments"
"8406","Mustard and other condiments"
"8408","Olives, pickles, pickled vegetables"
"8410","Pasta sauces, tomato-based"
"8412","Dips, gravies, other sauces"
"8802","Sugars and honey"
"8804","Sugar substitutes"
"8806","Jams, syrups, toppings"
"9002","Baby food: cereals"
"9004","Baby food: fruit"
"9006","Baby food: vegetable"
"9008","Baby food: meat and dinners"
"9010","Baby food: yogurt"
"9012","Baby food: snacks and sweets"
"9202","Baby juice"
"9204","Baby water"
"9402","Formula, ready-to-feed"
"9404","Formula, prepared from powder"
"9406","Formula, prepared from concentrate"
"9602","Human milk"
"9802","Protein and nutritional powders"
"9999","Not included in a food category"
